1,1
2,2
3,3
1,4
2,5
3,6
1,7
2,8
3,9
1,10
2,11
3,12
1,13
2,14
3,15
1,61
2,62
3,63
1,64
2,65
3,66
1,67
2,68
3,69
1,70
2,71
3,72
1,73
2,74
3,75
1,121
2,122
3,123
1,124
2,125
3,126
1,127
2,128
3,129
1,130
2,131
3,132
1,133
2,134
3,135
1,181
2,182
3,183
1,184
2,185
3,186
1,187
2,188
3,189
1,190
2,191
3,192
1,193
2,194
3,195
1,241
2,242
3,243
1,244
2,245
3,246
1,247
2,248
3,249
1,250
2,251
3,252
1,253
2,254
3,255
1,301
2,302
3,303
1,304
2,305
3,306
1,307
2,308
3,309
1,310
2,311
3,312
1,313
2,314
3,315
1,361
2,362
3,363
1,364
2,365
3,366
1,367
2,368
3,369
1,370
2,371
3,372
1,373
2,374
3,375
1,421
2,422
3,423
1,424
2,425
3,426
1,427
2,428
3,429
1,430
2,431
3,432
1,433
2,434
3,435
1,481
2,482
3,483
1,484
2,485
3,486
1,487
2,488
3,489
1,490
2,491
3,492
1,493
2,494
3,495
1,541
2,542
3,543
1,544
2,545
3,546
1,547
2,548
3,549
1,550
2,551
3,552
1,553
2,554
3,555
1,601
2,602
3,603
1,604
2,605
3,606
1,607
2,608
3,609
1,610
2,611
3,612
1,613
2,614
3,615
1,661
2,662
3,663
1,664
2,665
3,666
1,667
2,668
3,669
1,670
2,671
3,672
1,673
2,674
3,675
1,721
2,722
3,723
1,724
2,725
3,726
1,727
2,728
3,729
1,730
2,731
3,732
1,733
2,734
3,735
1,781
2,782
3,783
1,784
2,785
3,786
1,787
2,788
3,789
1,790
2,791
3,792
1,793
2,794
3,795
1,841
2,842
3,843
1,844
2,845
3,846
1,847
2,848
3,849
1,850
2,851
3,852
1,853
2,854
3,855
1,901
2,902
3,903
1,904
2,905
3,906
1,907
2,908
3,909
1,910
2,911
3,912
1,913
2,914
3,915
1,961
2,962
3,963
1,964
2,965
3,966
1,967
2,968
3,969
1,970
2,971
3,972
1,973
2,974
3,975
1,1021
2,1022
3,1023
1,1024
2,1025
3,1026
1,1027
2,1028
3,1029
1,1030
2,1031
3,1032
1,1033
2,1034
3,1035
1,1081
2,1082
3,1083
1,1084
2,1085
3,1086
1,1087
2,1088
3,1089
1,1090
2,1091
3,1092
1,1093
2,1094
3,1095
1,1141
2,1142
3,1143
1,1144
2,1145
3,1146
1,1147
2,1148
3,1149
1,1150
2,1151
3,1152
1,1153
2,1154
3,1155
1,1201
2,1202
3,1203
1,1204
2,1205
3,1206
1,1207
2,1208
3,1209
1,1210
2,1211
3,1212
1,1213
2,1214
3,1215
1,1261
2,1262
3,1263
1,1264
2,1265
3,1266
1,1267
2,1268
3,1269
1,1270
2,1271
3,1272
1,1273
2,1274
3,1275
1,1321
2,1322
3,1323
1,1324
2,1325
3,1326
1,1327
2,1328
3,1329
1,1330
2,1331
3,1332
1,1333
2,1334
3,1335
1,1381
2,1382
3,1383
1,1384
2,1385
3,1386
1,1387
2,1388
3,1389
1,1390
2,1391
3,1392
1,1393
2,1394
3,1395
1,1441
2,1442
3,1443
1,1444
2,1445
3,1446
1,1447
2,1448
3,1449
1,1450
2,1451
3,1452
1,1453
2,1454
3,1455
1,1501
2,1502
3,1503
1,1504
2,1505
3,1506
1,1507
2,1508
3,1509
1,1510
2,1511
3,1512
1,1513
2,1514
3,1515
1,1561
2,1562
3,1563
1,1564
2,1565
3,1566
1,1567
2,1568
3,1569
1,1570
2,1571
3,1572
1,1573
2,1574
3,1575
1,1621
2,1622
3,1623
1,1624
2,1625
3,1626
1,1627
2,1628
3,1629
1,1630
2,1631
3,1632
1,1633
2,1634
3,1635
1,1681
2,1682
3,1683
1,1684
2,1685
3,1686
1,1687
2,1688
3,1689
1,1690
2,1691
3,1692
1,1693
2,1694
3,1695
1,1741
2,1742
3,1743
1,1744
2,1745
3,1746
1,1747
2,1748
3,1749
1,1750
2,1751
3,1752
1,1753
2,1754
3,1755
1,1801
2,1802
3,1803
1,1804
2,1805
3,1806
1,1807
2,1808
3,1809
1,1810
2,1811
3,1812
1,1813
2,1814
3,1815
1,1861
2,1862
3,1863
1,1864
2,1865
3,1866
1,1867
2,1868
3,1869
1,1870
2,1871
3,1872
1,1873
2,1874
3,1875
1,1921
2,1922
3,1923
1,1924
2,1925
3,1926
1,1927
2,1928
3,1929
1,1930
2,1931
3,1932
1,1933
2,1934
3,1935
1,1981
2,1982
3,1983
1,1984
2,1985
3,1986
1,1987
2,1988
3,1989
